Downwelling Infrared PIR (vent.),88
Global 40-South PSP,24
Global CM3 (CNR1),128
Direct CH1,58
Diffuse CM-22 (ventilated),82
Global UV-Total TUVR,30
Global UVE 501A (Index),48
Global UVB 501A,32
Global SP-Lite,20
Global PSP,6
Net Radiation (Eppley),154
Direct UVA CUVA2,62
Net Radiation (CNR1),156
Global 40-South LI-200,26
Global UVE 501A (MED/hr),34
Global UVB UVB-1,46
Global Quantum LI-190,22
Upwelling Infrared CG3 (CNR1),134
Direct RG780 NIP,56
Global Normal CM-21,28
Direct LI-201,54
Direct UVB CUVB2,64
Global UVB MS210W,36
Net Infrared PIRs (atmos.),168
Global RG780 PSP,14
Direct NIP (secondary),52
Global CM6b,18
Diffuse PSP (vent/thermal corr.),150
Global TSP-1,16
Downwelling Infrared CG4 (vent.),90
Upwelling Infrared PIR,92
Downwelling Infrared CG3 (CNR1),132
Global UVA CUVA1,38
Global UVB UV-S-B-T,44
Upwelling Shortwave PSP,86
Net Infrared CNR1 (atmos.),136
Global UVB CUVB1,40
Diffuse PSP (ventilated),78
Global UVA UV-S-A-T,42
Direct NIP (primary),50
Global PSP (ventilated),8
Diffuse 8-48 (ventilated),80
